"","rowname","Estimate.x","Std. Error.x","t value.x","Pr(>|t|).x","model.x","Estimate.y","Std. Error.y","t value.y","Pr(>|t|).y","model.y","Estimate","Std. Error","t value","Pr(>|t|)","model"
"1","(Intercept)",4.13348708966433,0.354075221843554,11.6740365737614,0.00000000000000000000000000000349870760262341,"poor.fair.state.year",3.29526290972776,0.553950991751025,5.94865422898064,0.00000000337492504451528,"poor.fair.arrest.demo",2.33599635826095,0.570260066460526,4.09637022764008,0.0000442687711122409,"poor.fair.structural"
"2","young_adult_rate",-0.0000734617151206093,0.000316842631920969,-0.231855526117877,0.816682346112963,"poor.fair.state.year",-0.000244082107720603,0.00031834440525204,-0.766723409281711,0.44336934647413,"poor.fair.arrest.demo",-0.000397249326032342,0.000309748761713101,-1.28248882686507,0.199874522159988,"poor.fair.structural"
"3","lag.ya.rate",0.0000562205270522099,0.000316053976823048,0.177882675666146,0.858839509025084,"poor.fair.state.year",0.00000259396112424322,0.000315114490877605,0.00823180526233162,0.993433163089415,"poor.fair.arrest.demo",0.000187854021784508,0.000305880419574782,0.614142029900613,0.539217027781962,"poor.fair.structural"
"4","as.factor(year)2012",-0.0746555032869259,0.0517356863221245,-1.44301754928106,0.149227565873959,"poor.fair.state.year",-0.0690928183064857,0.0512693843084096,-1.34764283282319,0.177981368754393,"poor.fair.arrest.demo",-0.0577514560939701,0.0507536156275812,-1.13787865908387,0.255357590961676,"poor.fair.structural"
"5","as.factor(year)2013",-0.100483839880321,0.0564113109602479,-1.78127113463345,0.0750736133412491,"poor.fair.state.year",-0.0885235569275102,0.0575495023210118,-1.53821585517325,0.124211495359554,"poor.fair.arrest.demo",-0.0548077124785408,0.0589838919333732,-0.929197967140763,0.352939888910595,"poor.fair.structural"
"6","as.factor(year)2014",-0.069197163441594,0.0581340612278704,-1.19030327453572,0.234118491678859,"poor.fair.state.year",-0.0647536088269563,0.0590962842263721,-1.09573063136954,0.273376523150075,"poor.fair.arrest.demo",-0.00459322942742406,0.0632090981490484,-0.0726672197820816,0.942080874114447,"poor.fair.structural"
"7","as.factor(year)2015",-0.0824895964491672,0.0605329828051396,-1.36272148879079,0.173178033157468,"poor.fair.state.year",-0.0767622182912111,0.0621503094593009,-1.23510597065456,0.21698883948561,"poor.fair.arrest.demo",-0.000118567420256147,0.0673465379863732,-0.00176055702046835,0.998595519645857,"poor.fair.structural"
"8","as.factor(year)2016",0.302897330173945,0.0543806719648626,5.56994460034731,0.0000000302320555314101,"poor.fair.state.year",0.314099732315088,0.0570190594175009,5.5086796506973,0.0000000426349185981814,"poor.fair.arrest.demo",0.408930138749601,0.0671783730839286,6.08722896933971,0.00000000146520975320235,"poor.fair.structural"
"9","as.factor(year)2017",0.451355928227432,0.0498579793630977,9.05283234485636,0.000000000000000000428369227475152,"poor.fair.state.year",0.461438187736653,0.0539393532339091,8.55475937458162,0.0000000000000000292747169035188,"poor.fair.arrest.demo",0.569101037740986,0.068338274403296,8.32770570679699,0.000000000000000187204459216615,"poor.fair.structural"
"10","as.factor(year)2018",0.616942306621864,0.0499869097301445,12.3420773549003,0.0000000000000000000000000000000022305652587071,"poor.fair.state.year",0.621144953342469,0.0547422109814211,11.3467275472903,0.000000000000000000000000000115898997388372,"poor.fair.arrest.demo",0.746995594953114,0.0689380456920914,10.8357524129642,0.0000000000000000000000000227102797986789,"poor.fair.structural"
