"","rowname","Estimate.x","Std. Error.x","t value.x","model.x","Estimate.y","Std. Error.y","t value.y","model.y","Estimate","Std. Error","t value","model"
"1","(Intercept)",3.91796346760373,0.0189304776346704,206.965906683101,"lmm arrests",2.64206389050065,0.277964425518151,9.50504326435156,"arrests + demographics",3.40702248946071,0.25039389183927,13.6066517614883,"lmm full"
"2","young_adult_rate",-0.000354360360528464,0.0000887445777564795,-3.99303675206896,"lmm arrests",-0.000237169152480436,0.0000894821725477723,-2.6504626086701,"arrests + demographics",-0.000405145698817527,0.0000897870608159974,-4.51229492463063,"lmm full"
"3","lag.ya.rate",0.0000247356799211069,0.00008822771480244,0.280361788543375,"lmm arrests",0.000151421451994768,0.0000885397206855122,1.71020928033654,"arrests + demographics",0.0000686052962313432,0.0000885092968385955,0.775119661796105,"lmm full"
"4","`% 65 and older raw value`",NA,NA,NA,NA,-0.224418125557961,0.292559017047495,-0.767086681596036,"arrests + demographics",-0.671621298986247,0.304290580499016,-2.20717084927451,"lmm full"
"5","`% American Indian and Alaskan Native raw value`",NA,NA,NA,NA,1.38034240938607,0.202974987469928,6.80055422883363,"arrests + demographics",0.291156561946642,0.162790180542635,1.7885388478354,"lmm full"
"6","`% below 18 years of age raw value`",NA,NA,NA,NA,-1.4910094819941,0.480431346470604,-3.10348084684214,"arrests + demographics",-1.58348927878811,0.413324065944918,-3.8311083463481,"lmm full"
"7","`% Females raw value`",NA,NA,NA,NA,2.18713414641552,0.56665341066231,3.85973878434646,"arrests + demographics",2.75159939613607,0.497177112527466,5.53444502331964,"lmm full"
"8","`% Native Hawaiian/Other Pacific Islander raw value`",NA,NA,NA,NA,6.55324100490354,3.2191681013258,2.0356939428558,"arrests + demographics",0.367756928988291,2.67413294386632,0.137523801810908,"lmm full"
"9","`% Non-Hispanic African American raw value`",NA,NA,NA,NA,1.48121319680413,0.103525237625846,14.3077497890652,"arrests + demographics",-0.322830618370827,0.0956124484688691,-3.37644965211762,"lmm full"
"10","`% Hispanic raw value`",NA,NA,NA,NA,1.38873813219792,0.121610183918712,11.4195874674953,"arrests + demographics",0.426477167218064,0.102838201010984,4.14706950360317,"lmm full"
"11","`% Asian raw value`",NA,NA,NA,NA,-2.16776273985298,0.607013580219298,-3.57119315035723,"arrests + demographics",0.629119120776838,0.541060619723851,1.16275163603282,"lmm full"
"12","`% not proficient in English raw value`",NA,NA,NA,NA,-2.80942093165249,0.262460965911057,-10.7041476506817,"arrests + demographics",-2.98555897747344,0.263117074175503,-11.3468842218959,"lmm full"
"13","`% Rural raw value`",NA,NA,NA,NA,0.566762502898081,0.052993380294902,10.694967932676,"arrests + demographics",0.107508520198329,0.0458050732926736,2.34708761432163,"lmm full"
"14","`Unemployment raw value`",NA,NA,NA,NA,NA,NA,NA,NA,-1.32983916834632,0.229187415247659,-5.80240920693355,"lmm full"
"15","`Some college raw value`",NA,NA,NA,NA,NA,NA,NA,NA,-2.16330911084875,0.092593151288255,-23.3635974232486,"lmm full"
"16","`Median household income raw value`",NA,NA,NA,NA,NA,NA,NA,NA,0.0000000855543178685195,0.00000112391568507408,0.0761216512988523,"lmm full"
"17","`Children in poverty raw value`",NA,NA,NA,NA,NA,NA,NA,NA,2.16577824593879,0.142448146225282,15.2039763473903,"lmm full"
"18","`Children in single-parent households raw value`",NA,NA,NA,NA,NA,NA,NA,NA,1.13538832769076,0.0950618511998686,11.9436799658318,"lmm full"
