"","rowname","Estimate.x","Std. Error.x","z-value.x","Pr(>|z|).x","model.x","Estimate.y","Std. Error.y","z-value.y","Pr(>|z|).y","model.y","Estimate.x.x","Std. Error.x.x","z-value.x.x","Pr(>|z|).x.x","model.x.x","Estimate.y.y","Std. Error.y.y","z-value.y.y","Pr(>|z|).y.y","model.y.y","Estimate","Std. Error","z-value","Pr(>|z|)","model"
"1","(Intercept)",3.69249048031402,0.0134441832579927,274.653387971247,0,"m1",3.69631836224268,0.0155711045298857,237.383183392566,0,"m2",3.65979291662144,0.0250791418757372,145.929750497648,0,"m3",3.69424027241758,0.0155678101719085,237.299930537673,0,"m4",3.69362168696629,0.0155610596696773,237.363120852481,0,"m5"
"2","z.lag.ya.rate",-0.0622590241542927,0.0036996652305254,-16.8282858785715,0.00000000000000000000000000000000000000000000000000000000000000151422689280541,"m1",-0.0584501119876036,0.003911926661149,-14.9415152814843,0.0000000000000000000000000000000000000000000000000176906299480085,"m2",-0.0580260522000538,0.00392397354757402,-14.7875747623039,0.000000000000000000000000000000000000000000000000176188689053604,"m3",-0.0258477981490936,0.00393614995602618,-6.56677170277037,0.0000000000514177850593352,"m4",-0.00388292220658165,0.00400488481355764,-0.969546538126862,0.332272572313524,"m5"
"3","z.homicides",NA,NA,NA,NA,NA,0.0100734474277549,0.00391498345031371,2.57304981121891,0.0100806698191021,"m2",0.010329178955075,0.00392264265408692,2.6332194558465,0.00845796775558618,"m3",0.0110094615816862,0.00380009990153214,2.89715056629099,0.00376568979217084,"m4",0.00749483241541265,0.00376282362760472,1.99181071374945,0.0463918302930168,"m5"
"4","z.black",NA,NA,NA,NA,NA,0.0206002125773018,0.00395834909485057,5.20424350750183,0.000000194788453614341,"m2",0.0205589170317311,0.00396355383146154,5.18699074263616,0.000000213719350268268,"m3",0.0120515129448028,0.00385183512687474,3.12877175368122,0.00175538605916982,"m4",0.0118735865239439,0.00384828593150699,3.08542211656664,0.00203263450656821,"m5"
"5","z.lag.ya.rate:z.black",NA,NA,NA,NA,NA,-0.0142058709572489,0.00445464150259252,-3.18900431134163,0.00142763748412196,"m2",-0.0142872838293966,0.00446033197957014,-3.20318843862684,0.00135915015879241,"m3",-0.00705660468807057,0.00433226503621883,-1.6288487959706,0.103345031929219,"m4",-0.00224111043676087,0.00426556116325923,-0.525396390061016,0.599307662512311,"m5"
"6","disadvantage.scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013564742155491,0.00735135812788181,1.84520219523021,0.0650081313003646,"m3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","disadvantage.score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207234473592304,0.00659575432920351,-31.4193742290777,1.10033547161501e-216,"m4",NA,NA,NA,NA,NA
"8","z.median.income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0552784210820469,0.00613972522631332,-9.0034030912552,0.000000000000000000218827152658572,"m5"
"9","z.single.parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224976944378943,0.00391872479248291,5.74107538274964,0.00000000940771977602869,"m5"
"10","z.poverty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0129571352523948,0.0043498144402986,-2.97877884912841,0.00289399569108039,"m5"
"11","z.unemployment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.093767169169766,0.0060387189035712,-15.5276592050532,0.00000000000000000000000000000000000000000000000000000225460594585301,"m5"
"12","z.some.college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0124037587643108,0.00453928219023238,-2.73253749039907,0.00628485183488419,"m5"
