"","rowname","Estimate.x","Std. Error.x","z-value.x","Pr(>|z|).x","model.x","Estimate.y","Std. Error.y","z-value.y","Pr(>|z|).y","model.y","Estimate.x.x","Std. Error.x.x","z-value.x.x","Pr(>|z|).x.x","model.x.x","Estimate.y.y","Std. Error.y.y","z-value.y.y","Pr(>|z|).y.y","model.y.y","Estimate","Std. Error","z-value","Pr(>|z|)","model"
"1","(Intercept)",0.17385938352236,0.00094383576268571,184.205123810565,0,"m1",0.174830439188212,0.00107718491083011,162.303089683536,0,"m2",0.176945851819749,0.00139044257757509,127.258654671191,0,"m3",0.174829426998926,0.00107685684876296,162.351595014474,0,"m4",0.174818046126068,0.00107057417076792,163.293726767824,0,"m5"
"2","z.lag.ya.rate",-0.000759506707435026,0.000161145021758876,-4.71318753223098,0.0000024387156615603,"m1",-0.000654696888120761,0.000173320855119102,-3.77736936314368,0.000158493591280433,"m2",-0.000681008750638778,0.000174079026633211,-3.91206662749603,0.0000915096554927592,"m3",-0.000646488441257074,0.000179687110241527,-3.59785652063799,0.000320850523684113,"m4",-0.000595474939915053,0.000186169326064529,-3.19856634013195,0.00138112752130929,"m5"
"3","z.homicides",NA,NA,NA,NA,NA,-0.000311521557259663,0.000174745080440211,-1.78272004267526,0.0746318870576694,"m2",-0.0003270524395909,0.000175283844424471,-1.86584474265011,0.0620630904066207,"m3",-0.000311287470393139,0.000174763777527183,-1.78118987125191,0.0748814377760896,"m4",-0.000277472793776268,0.000175939674876121,-1.57709052248526,0.114774697643111,"m5"
"4","z.black",NA,NA,NA,NA,NA,0.000984436381880486,0.000176207553488294,5.58680012514835,0.0000000231291664381457,"m2",0.000985257502716381,0.000176631167928352,5.57805009315252,0.000000024322961948331,"m3",0.000981871928037256,0.000176825391679556,5.55277677437079,0.0000000281167032488675,"m4",0.000823612152143809,0.000179709105106577,4.58302962254119,0.0000045828708766984,"m5"
"5","z.lag.ya.rate:z.black",NA,NA,NA,NA,NA,-0.000231272656273901,0.000199296473374975,-1.16044530220443,0.245867551350399,"m2",-0.000219271846946955,0.000199768792496898,-1.0976281340358,0.272366902562608,"m3",-0.000229112185640078,0.000199666667979385,-1.14747337629601,0.251186030406968,"m4",-0.000224476912124771,0.000200031865693056,-1.12220576130218,0.261774963595989,"m5"
"6","disadvantage.scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000787000591971508,0.000334992865993032,-2.34930552815975,0.018808466351529,"m3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","disadvantage.score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000052357959488625,0.000301619191244166,-0.173589615676146,0.862187993605743,"m4",NA,NA,NA,NA,NA
"8","z.median.income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000154656897639729,0.000284610299033961,-0.54339880940596,0.586855245274061,"m5"
"9","z.single.parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000772996293759344,0.000182155817809417,4.24359926054134,0.0000219963010490831,"m5"
"10","z.poverty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000493764439336164,0.00020234240847566,-2.44024197920705,0.0146774267357618,"m5"
"11","z.unemployment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000223885772547259,0.000280563451836276,-0.797986234778391,0.424878478247469,"m5"
"12","z.some.college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000683793664286031,0.000211567033813351,3.23204259170778,0.00122908734921929,"m5"
