"","rowname","Estimate.x","Cluster s.e..x","t value.x","Pr(>|t|).x","model.x","Estimate.y","Cluster s.e..y","t value.y","Pr(>|t|).y","model.y","Estimate","Cluster s.e.","t value","Pr(>|t|)","model"
"1","young_adult_rate",-0.0000125062108561849,0.00000494579483181709,-2.52865540958764,0.0115053946580299,"TWFE arrests",-0.00000742503876198031,0.00000517886731458128,-1.43371867069752,0.151766000607572,"TWFE demographics",-0.00000877393012326945,0.00000518483071238643,-1.69223078051685,0.0907150160886721,"TWFE full"
"2","lag.ya.rate",-0.000000285889604246516,0.00000589035129912756,-0.0485352383462868,0.961293196915594,"TWFE arrests",0.00000509837397431085,0.00000601964751910279,0.846955566440002,0.397093427035109,"TWFE demographics",0.00000411832849279814,0.00000606155797047424,0.679417488516724,0.496930428091952,"TWFE full"
"3","`% 65 and older raw value`",NA,NA,NA,NA,NA,-0.0997368211775404,0.0361145124918897,-2.76168261166307,0.00578855389480876,"TWFE demographics",-0.0450421907376508,0.0428487957682777,-1.05118918583464,0.293263869562224,"TWFE full"
"4","`% American Indian and Alaskan Native raw value`",NA,NA,NA,NA,NA,0.229188226649458,0.0949220415522576,2.41448901542307,0.0158220461996749,"TWFE demographics",0.237602062399121,0.0937989999539901,2.53309803426122,0.011360953737711,"TWFE full"
"5","`% below 18 years of age raw value`",NA,NA,NA,NA,NA,-0.0692174812827186,0.0611889941345984,-1.13120802624177,0.258065967739881,"TWFE demographics",-0.111597116320715,0.0612282773304904,-1.82264014579979,0.0684662142864906,"TWFE full"
"6","`% Females raw value`",NA,NA,NA,NA,NA,0.0539754127206448,0.0691587043578753,0.780457257286638,0.435188801935846,"TWFE demographics",0.0471063473369718,0.0697389241293253,0.675467078465634,0.499435728861201,"TWFE full"
"7","`% Native Hawaiian/Other Pacific Islander raw value`",NA,NA,NA,NA,NA,-0.600511329745283,0.487670241644337,-1.23138809479222,0.218282811701573,"TWFE demographics",-0.528968099686382,0.48483525437583,-1.09102647736986,0.275356605546298,"TWFE full"
"8","`% Non-Hispanic African American raw value`",NA,NA,NA,NA,NA,0.231541510590155,0.0588497876851371,3.93444937862761,0.000085447093482974,"TWFE demographics",0.211768478275994,0.0601644707106531,3.51982616608471,0.000438825502452363,"TWFE full"
"9","`% Hispanic raw value`",NA,NA,NA,NA,NA,0.190094706753687,0.0445965799610568,4.262540018084,0.0000208905295704374,"TWFE demographics",0.185091020812238,0.0451806099110347,4.09669150497751,0.0000431179128852262,"TWFE full"
"10","`% Asian raw value`",NA,NA,NA,NA,NA,0.363324372580715,0.101940779820933,3.56407291781485,0.000371344322613847,"TWFE demographics",0.332183011562859,0.104278960369765,3.1855228550895,0.00146106438367458,"TWFE full"
"11","`% not proficient in English raw value`",NA,NA,NA,NA,NA,-0.0236423225336357,0.0295222057297825,-0.800831846713436,0.42329803026889,"TWFE demographics",-0.0354654078378146,0.0297698871681515,-1.19131818127132,0.233631283420583,"TWFE full"
"12","`% Rural raw value`",NA,NA,NA,NA,NA,-0.00469854733724328,0.0104755416438714,-0.448525479347611,0.653809262238908,"TWFE demographics",-0.007882811014623,0.0105212866340207,-0.749225003445289,0.453785543237463,"TWFE full"
"13","`Unemployment raw value`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0910667730091311,0.0256353959779238,3.55238409765756,0.000388159498560306,"TWFE full"
"14","`Some college raw value`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0332226767534608,0.0108489462329065,-3.0622952718386,0.00221767755422446,"TWFE full"
"15","`Median household income raw value`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000311466551408893,0.0000000928524227495916,3.35442568094178,0.000806059705532495,"TWFE full"
"16","`Children in poverty raw value`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0192777358193988,0.00955925772442208,-2.0166561437242,0.0438282239915579,"TWFE full"
"17","`Children in single-parent households raw value`",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230889012876799,0.00912982807444113,2.52895247308293,0.0114957044919654,"TWFE full"
